0;0~4;0~9;0~19;0~59;*
1;0~4;0~9;0~19;0~59;*
2;0~4;0~9;0~19;0~59;*
3;0~4;0~9;0~19;0~59;*
4;0~4;0~9;0~19;0~59;*
5;5~9;0~9;0~19;0~59;*
6;5~9;0~9;0~19;0~59;*
7;5~9;0~9;0~19;0~59;*
8;5~9;0~9;0~19;0~59;*
9;5~9;0~9;0~19;0~59;*
10;10~14;10~19;0~19;0~59;*
11;10~14;10~19;0~19;0~59;*
12;10~14;10~19;0~19;0~59;*
13;10~14;10~19;0~19;0~59;*
14;10~14;10~19;0~19;0~59;*
15;15~19;10~19;0~19;0~59;*
16;15~19;10~19;0~19;0~59;*
17;15~19;10~19;0~19;0~59;*
18;15~19;10~19;0~19;0~59;*
19;15~19;10~19;0~19;0~59;*
20;20~24;20~29;20~39;0~59;*
21;20~24;20~29;20~39;0~59;*
22;20~24;20~29;20~39;0~59;*
23;20~24;20~29;20~39;0~59;*
24;20~24;20~29;20~39;0~59;*
25;25~29;20~29;20~39;0~59;*
26;25~29;20~29;20~39;0~59;*
27;25~29;20~29;20~39;0~59;*
28;25~29;20~29;20~39;0~59;*
29;25~29;20~29;20~39;0~59;*
30;30~34;30~39;20~39;0~59;*
31;30~34;30~39;20~39;0~59;*
32;30~34;30~39;20~39;0~59;*
33;30~34;30~39;20~39;0~59;*
34;30~34;30~39;20~39;0~59;*
35;35~39;30~39;20~39;0~59;*
36;35~39;30~39;20~39;0~59;*
37;35~39;30~39;20~39;0~59;*
38;35~39;30~39;20~39;0~59;*
39;35~39;30~39;20~39;0~59;*
40;40~44;40~49;40~59;0~59;*
41;40~44;40~49;40~59;0~59;*
42;40~44;40~49;40~59;0~59;*
43;40~44;40~49;40~59;0~59;*
44;40~44;40~49;40~59;0~59;*
45;45~49;40~49;40~59;0~59;*
46;45~49;40~49;40~59;0~59;*
47;45~49;40~49;40~59;0~59;*
48;45~49;40~49;40~59;0~59;*
49;45~49;40~49;40~59;0~59;*
50;50~54;50~59;40~59;0~59;*
51;50~54;50~59;40~59;0~59;*
52;50~54;50~59;40~59;0~59;*
53;50~54;50~59;40~59;0~59;*
54;50~54;50~59;40~59;0~59;*
55;55~59;50~59;40~59;0~59;*
56;55~59;50~59;40~59;0~59;*
57;55~59;50~59;40~59;0~59;*
58;55~59;50~59;40~59;0~59;*
59;55~59;50~59;40~59;0~59;*
60;60~64;60~69;60~79;60+;*
61;60~64;60~69;60~79;60+;*
62;60~64;60~69;60~79;60+;*
63;60~64;60~69;60~79;60+;*
64;60~64;60~69;60~79;60+;*
65;65~69;60~69;60~79;60+;*
66;65~69;60~69;60~79;60+;*
67;65~69;60~69;60~79;60+;*
68;65~69;60~69;60~79;60+;*
69;65~69;60~69;60~79;60+;*
70;70~74;70~79;60~79;60+;*
71;70~74;70~79;60~79;60+;*
72;70~74;70~79;60~79;60+;*
73;70~74;70~79;60~79;60+;*
74;70~74;70~79;60~79;60+;*
75;75~79;70~79;60~79;60+;*
76;75~79;70~79;60~79;60+;*
77;75~79;70~79;60~79;60+;*
78;75~79;70~79;60~79;60+;*
79;75~79;70~79;60~79;60+;*
80;80~84;80+;80+;60+;*
81;80~84;80+;80+;60+;*
82;80~84;80+;80+;60+;*
83;80~84;80+;80+;60+;*
84;80~84;80+;80+;60+;*
85;85+;80+;80+;60+;*
86;85+;80+;80+;60+;*
87;85+;80+;80+;60+;*
88;85+;80+;80+;60+;*
89;85+;80+;80+;60+;*
90;85+;80+;80+;60+;*
91;85+;80+;80+;60+;*
92;85+;80+;80+;60+;*
93;85+;80+;80+;60+;*
94;85+;80+;80+;60+;*
95;85+;80+;80+;60+;*
96;85+;80+;80+;60+;*
97;85+;80+;80+;60+;*
98;85+;80+;80+;60+;*
99;85+;80+;80+;60+;*
100;85+;80+;80+;60+;*
101;85+;80+;80+;60+;*
102;85+;80+;80+;60+;*
103;85+;80+;80+;60+;*
104;85+;80+;80+;60+;*
105;85+;80+;80+;60+;*
106;85+;80+;80+;60+;*
107;85+;80+;80+;60+;*
108;85+;80+;80+;60+;*
109;85+;80+;80+;60+;*
110;85+;80+;80+;60+;*
111;85+;80+;80+;60+;*
112;85+;80+;80+;60+;*
113;85+;80+;80+;60+;*
114;85+;80+;80+;60+;*
115;85+;80+;80+;60+;*
116;85+;80+;80+;60+;*
117;85+;80+;80+;60+;*
118;85+;80+;80+;60+;*
119;85+;80+;80+;60+;*
